4,1,2,2,2022,10.62,5,30.08
4,2,2,1,2022,5.8,5,29.87
6,3,3,2,2022,9.75,5,48.71
3,4,3,2,2022,15.3,8,45.67
5,5,3,3,2022,6.6,5,47.39
5,6,2,1,2022,6.6,5,15.27
4,7,3,2,2022,10.7,7,46.35
4,8,2,3,2022,7.1,5,25
4,9,2,2,2022,11.8,8,35.27
5,10,2,2,2022,9.4,5,23.48
3,11,2,2,2022,11.9,5,39.33
5,12,2,1,2022,7.8,4,38.69
1,13,2,2,2022,11.25,7,24.1
4,14,2,2,2022,7.5,5,39.3
3,15,2,2,2022,9.4,5,39.46
5,16,2,2,2022,8.7,5,37.02
1,17,2,2,2022,10.3,7,32.19
4,18,2,2,2022,4.9,5,36.89
1,19,2,2,2022,10.25,5,15.06
4,20,3,2,2022,13.9,5,48.76
2,21,1,1,2022,6.1,7,17.12
6,22,2,1,2022,20.4,6,35.47
5,23,2,2,2022,13.1,5,20.13
3,24,2,2,2022,11.8,6,25.4
